date,sunspot_ms
1908-11,  86.5
1908-12,  84.4
1909-01,  82.4
1909-02,  77.4
1909-03,  69.4
1909-04,  67.9
1909-05,  70.4
1909-06,  72.1
1909-07,  71.0
1909-08,  67.9
1909-09,  63.7
1909-10,  58.9
1909-11,  56.3
1909-12,  54.6
1910-01,  52.4
1910-02,  50.1
1910-03,  48.4
1910-04,  46.2
1910-05,  41.2
1910-06,  34.4
1910-07,  29.4
1910-08,  26.2
1910-09,  23.7
1910-10,  23.3
1910-11,  23.0
1910-12,  21.4
1911-01,  20.0
1911-02,  18.7
1911-03,  16.6
1911-04,  12.6
1911-05,  10.1
1911-06,   9.8
1911-07,   9.3
1911-08,   8.5
1911-09,   7.7
1911-10,   6.6
1911-11,   5.5
1911-12,   5.3
1912-01,   5.4
1912-02,   5.1
1912-03,   5.2
1912-04,   5.7
1912-05,   5.6
1912-06,   5.7
1912-07,   6.1
1912-08,   6.5
1912-09,   6.4
1912-10,   5.8
1912-11,   5.2
1912-12,   4.7
1913-01,   4.3
1913-02,   4.2
1913-03,   3.6
1913-04,   2.9
1913-05,   2.8
1913-06,   2.6
1913-07,   2.5
1913-08,   2.5
1913-09,   2.6
1913-10,   4.0
1913-11,   5.5
1913-12,   6.6
1914-01,   7.7
1914-02,   8.5
1914-03,   9.8
1914-04,  10.9
1914-05,  12.4
1914-06,  14.8
1914-07,  17.5
1914-08,  21.6
1914-09,  26.8
1914-10,  31.0
1914-11,  34.6
1914-12,  40.5
1915-01,  49.1
1915-02,  58.0
1915-03,  64.8
1915-04,  70.5
1915-05,  75.5
1915-06,  78.1
1915-07,  80.5
1915-08,  83.0
1915-09,  85.8
1915-10,  89.9
1915-11,  94.9
1915-12,  97.7
1916-01,  96.4
1916-02,  92.7
1916-03,  90.0
1916-04,  89.5
1916-05,  91.0
1916-06,  93.9
1916-07,  97.2
1916-08, 100.4
1916-09, 103.4
1916-10, 105.6
1916-11, 108.5
1916-12, 114.6
1917-01, 122.4
1917-02, 135.3
1917-03, 149.5
1917-04, 156.8
1917-05, 160.4
1917-06, 167.9
1917-07, 174.7
1917-08, 175.7
1917-09, 173.6
1917-10, 172.5
1917-11, 170.3
1917-12, 163.8
1918-01, 159.1
1918-02, 154.6
1918-03, 147.5
1918-04, 145.0
1918-05, 145.0
1918-06, 139.2
1918-07, 131.0
1918-08, 128.6
1918-09, 129.2
1918-10, 126.9
1918-11, 125.7
1918-12, 130.0
1919-01, 130.6
1919-02, 125.4
1919-03, 121.4
1919-04, 117.4
1919-05, 112.3
1919-06, 107.7
1919-07, 106.2
1919-08, 104.6
1919-09, 103.1
1919-10, 100.8
1919-11,  94.4
1919-12,  85.6
1920-01,  78.0
1920-02,  71.9
1920-03,  67.2
1920-04,  65.7
1920-05,  64.4
1920-06,  63.1
1920-07,  61.3
1920-08,  58.2
1920-09,  53.4
1920-10,  51.6
1920-11,  52.1
1920-12,  51.0
1921-01,  51.6
1921-02,  52.9
1921-03,  51.8
1921-04,  48.3
1921-05,  45.5
1921-06,  44.2
1921-07,  42.2
1921-08,  40.7
1921-09,  42.5
1921-10,  42.9
1921-11,  40.5
1921-12,  37.6
1922-01,  33.5
1922-02,  30.2
1922-03,  28.2
1922-04,  26.4
1922-05,  24.9
1922-06,  24.0
1922-07,  23.2
1922-08,  21.0
1922-09,  15.7
1922-10,  11.8
1922-11,  11.1
1922-12,  11.0
1923-01,  10.7
1923-02,   9.8
1923-03,  10.0
1923-04,  10.9
1923-05,  11.5
1923-06,  10.7
1923-07,   9.4
1923-08,   9.4
1923-09,   9.5
1923-10,   9.8
1923-11,  11.3
1923-12,  13.6
1924-01,  16.3
1924-02,  19.3
1924-03,  21.5
1924-04,  23.3
1924-05,  25.1
1924-06,  26.9
1924-07,  28.2
1924-08,  29.8
1924-09,  32.2
1924-10,  34.7
1924-11,  37.7
1924-12,  40.8
1925-01,  43.2
1925-02,  45.2
1925-03,  48.9
1925-04,  54.4
1925-05,  59.9
1925-06,  68.2
1925-07,  78.5
1925-08,  86.3
1925-09,  92.6
1925-10,  96.2
1925-11,  98.2
1925-12, 101.4
1926-01, 104.2
1926-02, 106.8
1926-03, 108.5
1926-04, 108.7
1926-05, 109.0
1926-06, 107.8
1926-07, 107.2
1926-08, 109.4
1926-09, 111.6
1926-10, 115.9
1926-11, 120.7
1926-12, 120.8
1927-01, 120.0
1927-02, 119.6
1927-03, 119.6
1927-04, 119.5
1927-05, 119.4
1927-06, 117.5
1927-07, 115.2
1927-08, 114.0
1927-09, 113.7
1927-10, 113.9
1927-11, 112.9
1927-12, 115.0
1928-01, 120.2
1928-02, 125.3
1928-03, 128.9
1928-04, 130.2
1928-05, 128.9
1928-06, 128.7
1928-07, 128.7
1928-08, 126.9
1928-09, 123.7
1928-10, 119.4
1928-11, 116.1
1928-12, 113.5
1929-01, 110.2
1929-02, 107.0
1929-03, 101.9
1929-04,  97.5
1929-05,  99.2
1929-06, 104.7
1929-07, 107.9
1929-08, 106.7
1929-09, 104.7
1929-10, 102.7
1929-11, 100.2
1929-12,  95.7
1930-01,  89.3
1930-02,  83.2
1930-03,  80.2
1930-04,  78.6
1930-05,  74.1
1930-06,  65.2
1930-07,  56.0
1930-08,  52.0
1930-09,  51.2
1930-10,  50.4
1930-11,  49.0
1930-12,  47.2
1931-01,  46.0
1931-02,  44.9
1931-03,  43.1
1931-04,  40.5
1931-05,  37.7
1931-06,  35.9
1931-07,  35.2
1931-08,  32.8
1931-09,  29.2
1931-10,  26.5
1931-11,  24.6
1931-12,  24.7
1932-01,  24.6
1932-02,  23.6
1932-03,  22.1
1932-04,  21.0
1932-05,  20.2
1932-06,  19.0
1932-07,  18.6
1932-08,  19.4
1932-09,  20.1
1932-10,  19.5
1932-11,  17.9
1932-12,  15.7
1933-01,  14.0
1933-02,  13.1
1933-03,  12.7
1933-04,  12.4
1933-05,  11.5
1933-06,  10.2
1933-07,   8.8
1933-08,   7.2
1933-09,   5.8
1933-10,   6.0
1933-11,   7.7
1933-12,   9.0
1934-01,   9.5
1934-02,  10.5
1934-03,  11.0
1934-04,  11.1
1934-05,  11.9
1934-06,  13.5
1934-07,  15.6
1934-08,  17.5
1934-09,  19.7
1934-10,  21.1
1934-11,  21.7
1934-12,  24.9
1935-01,  29.3
1935-02,  32.6
1935-03,  36.7
1935-04,  42.7
1935-05,  49.8
1935-06,  56.9
1935-07,  63.1
1935-08,  69.9
1935-09,  77.4
1935-10,  85.5
1935-11,  91.8
1935-12,  95.3
1936-01,  98.3
1936-02, 103.5
1936-03, 109.8
1936-04, 114.7
1936-05, 120.7
1936-06, 128.6
1936-07, 137.7
1936-08, 146.3
1936-09, 150.5
1936-10, 153.4
1936-11, 160.1
1936-12, 168.6
1937-01, 179.2
1937-02, 189.2
1937-03, 194.4
1937-04, 198.6
1937-05, 198.3
1937-06, 193.0
1937-07, 188.3
1937-08, 185.2
1937-09, 184.8
1937-10, 184.4
1937-11, 184.6
1937-12, 183.0
1938-01, 182.2
1938-02, 182.1
1938-03, 179.8
1938-04, 177.2
1938-05, 178.7
1938-06, 182.3
1938-07, 181.4
1938-08, 177.2
1938-09, 172.8
1938-10, 171.8
1938-11, 171.8
1938-12, 171.4
1939-01, 166.9
1939-02, 161.5
1939-03, 162.4
1939-04, 163.3
1939-05, 158.8
1939-06, 151.5
1939-07, 145.9
1939-08, 142.6
1939-09, 142.6
1939-10, 140.6
1939-11, 132.7
1939-12, 127.1
1940-01, 123.8
1940-02, 121.7
1940-03, 118.5
1940-04, 113.0
1940-05, 110.0
1940-06, 111.1
1940-07, 112.6
1940-08, 111.3
1940-09, 107.7
1940-10, 103.2
1940-11,  99.5
1940-12,  96.1
1941-01,  94.4
1941-02,  91.2
1941-03,  88.0
1941-04,  87.3
1941-05,  85.3
1941-06,  81.6
1941-07,  78.5
1941-08,  78.3
1941-09,  79.4
1941-10,  81.9
1941-11,  83.6
1941-12,  79.9
1942-01,  73.1
1942-02,  67.0
1942-03,  60.8
1942-04,  55.5
1942-05,  53.1
1942-06,  51.8
1942-07,  49.4
1942-08,  46.2
1942-09,  42.6
1942-10,  38.4
1942-11,  35.2
1942-12,  34.2
1943-01,  33.6
1943-02,  33.2
1943-03,  32.7
1943-04,  31.4
1943-05,  29.2
1943-06,  27.5
1943-07,  26.6
1943-08,  24.0
1943-09,  20.9
1943-10,  18.0
1943-11,  15.4
1943-12,  14.4
1944-01,  13.6
1944-02,  12.9
1944-03,  13.0
1944-04,  13.9
1944-05,  14.6
